Simulation Results: 
seq num, src name, enqueue time @ src, tx time @ src, receive time @ C, tx time @ C, received @ D
0,A,0,10.0,11.0,21.0,22.0
100,B,0,10.0,11.0,31.0,32.0
1,A,0,20.0,21.0,41.0,42.0
101,B,0,20.0,21.0,51.0,52.0
2,A,0,30.0,31.0,61.0,62.0
3,A,0,40.0,41.0,71.0,72.0
4,A,0,50.0,51.0,81.0,82.0
5,A,0,60.0,61.0,91.0,92.0
6,A,0,70.0,71.0,101.0,102.0
7,A,0,80.0,81.0,111.0,112.0
8,A,0,90.0,91.0,121.0,122.0
9,A,0,100.0,101.0,131.0,132.0
102,B,500,510.0,511.0,521.0,522.0
103,B,500,520.0,521.0,531.0,532.0
10,A,1000,1010.0,1011.0,1021.0,1022.0
104,B,1000,1010.0,1011.0,1031.0,1032.0
11,A,1000,1020.0,1021.0,1041.0,1042.0
105,B,1000,1020.0,1021.0,1051.0,1052.0
12,A,1000,1030.0,1031.0,1061.0,1062.0
13,A,1000,1040.0,1041.0,1071.0,1072.0
14,A,1000,1050.0,1051.0,1081.0,1082.0
15,A,1000,1060.0,1061.0,1091.0,1092.0
16,A,1000,1070.0,1071.0,1101.0,1102.0
17,A,1000,1080.0,1081.0,1111.0,1112.0
18,A,1000,1090.0,1091.0,1121.0,1122.0
19,A,1000,1100.0,1101.0,1131.0,1132.0
106,B,1500,1510.0,1511.0,1521.0,1522.0
107,B,1500,1520.0,1521.0,1531.0,1532.0
20,A,2000,2010.0,2011.0,2021.0,2022.0
108,B,2000,2010.0,2011.0,2031.0,2032.0
21,A,2000,2020.0,2021.0,2041.0,2042.0
109,B,2000,2020.0,2021.0,2051.0,2052.0
22,A,2000,2030.0,2031.0,2061.0,2062.0
23,A,2000,2040.0,2041.0,2071.0,2072.0
24,A,2000,2050.0,2051.0,2081.0,2082.0
25,A,2000,2060.0,2061.0,2091.0,2092.0
26,A,2000,2070.0,2071.0,2101.0,2102.0
27,A,2000,2080.0,2081.0,2111.0,2112.0
28,A,2000,2090.0,2091.0,2121.0,2122.0
29,A,2000,2100.0,2101.0,2131.0,2132.0
110,B,2500,2510.0,2511.0,2521.0,2522.0
111,B,2500,2520.0,2521.0,2531.0,2532.0
30,A,3000,3010.0,3011.0,3021.0,3022.0
112,B,3000,3010.0,3011.0,3031.0,3032.0
31,A,3000,3020.0,3021.0,3041.0,3042.0
113,B,3000,3020.0,3021.0,3051.0,3052.0
32,A,3000,3030.0,3031.0,3061.0,3062.0
33,A,3000,3040.0,3041.0,3071.0,3072.0
34,A,3000,3050.0,3051.0,3081.0,3082.0
35,A,3000,3060.0,3061.0,3091.0,3092.0
36,A,3000,3070.0,3071.0,3101.0,3102.0
37,A,3000,3080.0,3081.0,3111.0,3112.0
38,A,3000,3090.0,3091.0,3121.0,3122.0
39,A,3000,3100.0,3101.0,3131.0,3132.0
114,B,3500,3510.0,3511.0,3521.0,3522.0
115,B,3500,3520.0,3521.0,3531.0,3532.0
40,A,4000,4010.0,4011.0,4021.0,4022.0
116,B,4000,4010.0,4011.0,4031.0,4032.0
41,A,4000,4020.0,4021.0,4041.0,4042.0
117,B,4000,4020.0,4021.0,4051.0,4052.0
42,A,4000,4030.0,4031.0,4061.0,4062.0
43,A,4000,4040.0,4041.0,4071.0,4072.0
44,A,4000,4050.0,4051.0,4081.0,4082.0
45,A,4000,4060.0,4061.0,4091.0,4092.0
46,A,4000,4070.0,4071.0,4101.0,4102.0
47,A,4000,4080.0,4081.0,4111.0,4112.0
48,A,4000,4090.0,4091.0,4121.0,4122.0
49,A,4000,4100.0,4101.0,4131.0,4132.0
118,B,4500,4510.0,4511.0,4521.0,4522.0
119,B,4500,4520.0,4521.0,4531.0,4532.0
50,A,5000,5010.0,5011.0,5021.0,5022.0
120,B,5000,5010.0,5011.0,5031.0,5032.0
51,A,5000,5020.0,5021.0,5041.0,5042.0
121,B,5000,5020.0,5021.0,5051.0,5052.0
52,A,5000,5030.0,5031.0,5061.0,5062.0
53,A,5000,5040.0,5041.0,5071.0,5072.0
54,A,5000,5050.0,5051.0,5081.0,5082.0
55,A,5000,5060.0,5061.0,5091.0,5092.0
56,A,5000,5070.0,5071.0,5101.0,5102.0
57,A,5000,5080.0,5081.0,5111.0,5112.0
58,A,5000,5090.0,5091.0,5121.0,5122.0
59,A,5000,5100.0,5101.0,5131.0,5132.0
122,B,5500,5510.0,5511.0,5521.0,5522.0
123,B,5500,5520.0,5521.0,5531.0,5532.0
60,A,6000,6010.0,6011.0,6021.0,6022.0
124,B,6000,6010.0,6011.0,6031.0,6032.0
61,A,6000,6020.0,6021.0,6041.0,6042.0
125,B,6000,6020.0,6021.0,6051.0,6052.0
62,A,6000,6030.0,6031.0,6061.0,6062.0
63,A,6000,6040.0,6041.0,6071.0,6072.0
64,A,6000,6050.0,6051.0,6081.0,6082.0
65,A,6000,6060.0,6061.0,6091.0,6092.0
66,A,6000,6070.0,6071.0,6101.0,6102.0
67,A,6000,6080.0,6081.0,6111.0,6112.0
